lemma,pos,semantic_relationship,sense_source,sense_target
sealer,noun,exact,an official who affixes a seal to a document,"one who seals; especially, an officer whose duty it is to seal writs or instruments, to stamp weights and measures, or the like."
parlour,noun,exact,reception room in an inn or club where visitors can be received,a room in an inn or club where visitors can be received.
swinish,adjective,narrower,resembling swine; coarsely gluttonous or greedy,of or pertaining to swine; befitting swine; like swine; hoggish; gross; beasty; .
slow,verb,exact,become slow or slower,to go slower; -- often with ; .
slow,verb,exact,cause to proceed more slowly,to render slow; to slacken the speed of; to retard; to delay; .
slow,verb,narrower,lose velocity; move more slowly,to go slower; -- often with ; .
fuss,verb,exact,worry unnecessarily or excessively,to be overbusy or unduly anxious about trifles; to make a bustle or ado.
expatriation,noun,exact,the act of expelling a person from their native land,"the act of banishing, or the state of banishment; especially, the forsaking of one's own country with a renunciation of allegiance."
shanty,noun,exact,small crude shelter used as a dwelling,"a small, mean dwelling; a rough, slight building for temporary use; a hut."
reticent,adjective,narrower,temperamentally disinclined to talk,inclined to keep silent; reserved; uncommunicative.
reticent,adjective,narrower,reluctant to draw attention to yourself,inclined to keep silent; reserved; uncommunicative.
righteous,adjective,narrower,characterized by or proceeding from accepted standards of morality or justice,"doing, or according with, that which is right; yielding to all their due; just; equitable; especially, free from wrong, guilt, or sin; holy; ."
righteous,adjective,narrower,morally justified,"doing, or according with, that which is right; yielding to all their due; just; equitable; especially, free from wrong, guilt, or sin; holy; ."
recreate,verb,narrower,give encouragement to,"to give fresh life to; to reanimate; to revive; especially, to refresh after wearying toil or anxiety; to relieve; to cheer; to divert; to amuse; to gratify."
recreate,verb,narrower,give new life or energy to,"to give fresh life to; to reanimate; to revive; especially, to refresh after wearying toil or anxiety; to relieve; to cheer; to divert; to amuse; to gratify."
recreate,verb,exact,engage in recreational activities rather than work; occupy oneself in a diversion,to take recreation.
recreate,verb,narrower,create anew,"to give fresh life to; to reanimate; to revive; especially, to refresh after wearying toil or anxiety; to relieve; to cheer; to divert; to amuse; to gratify."
tube,verb,exact,provide with a tube or insert a tube into,to furnish with a tube; .
fireball,noun,exact,a ball of fire (such as the sun or a ball-shaped discharge of lightning),"a large mass of fire caused by a large explosion, as of inflammable liquids or a nuclear device.  the larger , as of nuclear explosions, rise seemingly intact into the air and may reach high altitudes while still glowing."
fireball,noun,narrower,the luminous center of a nuclear explosion,"a large mass of fire caused by a large explosion, as of inflammable liquids or a nuclear device.  the larger , as of nuclear explosions, rise seemingly intact into the air and may reach high altitudes while still glowing."
hypothesis,noun,exact,a tentative insight into the natural world; a concept that is not yet verified but that if true would explain certain facts or phenomena,"a supposition; a proposition or principle which is supposed or taken for granted, in order to draw a conclusion or inference for proof of the point in question; something not proved, but assumed for the purpose of argument, or to account for a fact or an occurrence; ."
hypothesis,noun,exact,a proposal intended to explain certain facts or observations,"a supposition; a proposition or principle which is supposed or taken for granted, in order to draw a conclusion or inference for proof of the point in question; something not proved, but assumed for the purpose of argument, or to account for a fact or an occurrence; ."
clip,verb,exact,terminate or abbreviate before its intended or proper end or its full extent,to curtail; to cut short.
clip,verb,related,"cultivate, tend, and cut back the growth of",to cut off; as with shears or scissors; .
clip,verb,related,sever or remove by pinching or snipping,to cut off; as with shears or scissors; .
clip,verb,exact,run at a moderately swift pace,to move swiftly; -- usually with indefinite .
quaternary,noun,narrower,last 2 million years,"the quaternary age, era, or formation. see the  of ."
quaternary,noun,exact,the cardinal number that is the sum of three and one,the number four.
fantastical,adjective,exact,existing in fancy only,fanciful; unreal; whimsical; capricious; fantastic.
suffer,verb,narrower,feel unwell or uncomfortable,to feel or undergo pain of body or mind; to bear what is inconvenient; .
suffer,verb,related,be given to,to undergo; to be affected by; to sustain; to experience;
suffer,verb,narrower,undergo (as of injuries and illnesses),to undergo; to be affected by; to sustain; to experience;
suffer,verb,narrower,experience (emotional) pain,to feel or undergo pain of body or mind; to bear what is inconvenient; .
